dealer_id,dealer_code,dealer_name,city,state,region,dealer_type,created_date,is_active,email,phone,credit_terms_days
23,dlr-00023,lucknow auto parts - 23,lucknow,up,north,retail,2025-05-24 00:00:00,true,dealer23@example.com,+91-9006056114,0
24,dlr-00024,jaipur auto parts - 24,jaipur,rj,north,retail,2024-03-28 00:00:00,true,dealer24@example.com,+91-9163411183,30
25,dlr-00025,kolkata auto parts - 25,kolkata,wb,east,retail,2023-01-13 00:00:00,true,dealer25@example.com,+91-9723001023,15
26,dlr-00026,visakhapatnam auto parts - 26,visakhapatnam,ap,south,retail,2023-06-05 00:00:00,true,dealer26@example.com,+91-9928593292,30
27,dlr-00010,coimbatore auto parts - 27,coimbatore,tn,south,retail,2023-02-20 00:00:00,true,dealer27@example.com,+91-9621617457,30
28,dlr-00028,hyderabad auto parts - 28,hyderabad,tg,south,retail,2023-02-16 00:00:00,true,dealer28@example.com,+91-9280978195,30
29,dlr-00029,bhubaneswar auto parts - 29,bhubaneswar,or,east,retail,2023-11-05 00:00:00,true,dealer29@example.com,+91-9296742076,45
30,dlr-00030,noida auto parts - 30,noida,up,north,retail,2024-03-23 00:00:00,false,dealer30@example.com,+91-9960875357,60
31,dlr-00031,kochi auto parts - 31,kochi,kl,south,retail,2024-03-24 00:00:00,true,dealer31@example.com,+91-9441537892,45
32,dlr-00032,hyderabad auto parts - 32,hyderabad,tg,south,retail,2025-11-29 00:00:00,false,dealer32@example.com,+91-9674236144,30
33,dlr-00033,new delhi auto parts - 33,new delhi,dl,north,retail,2025-09-25 00:00:00,true,dealer33@example.com,+91-9977612867,15
34,dlr-00034,jaipur auto parts - 34,jaipur,rj,north,retail,2023-01-04 00:00:00,true,dealer34@example.com,+91-9114470862,30
35,dlr-00035,kolkata auto parts - 35,kolkata,wb,east,wholesale,2023-10-05 00:00:00,true,dealer35@example.com,+91-9298621700,30
36,dlr-00036,cuttack auto parts - 36,cuttack,or,east,wholesale,2024-02-05 00:00:00,true,dealer36@example.com,+91-9077267672,60
38,dlr-00038,bhubaneswar auto parts - 38,bhubaneswar,or,east,retail,2025-11-07 00:00:00,true,dealer38@example.com,+91-9397705155,30
39,dlr-00039,hyderabad auto parts - 39,hyderabad,tg,south,retail,2023-06-05 00:00:00,true,dealer39@example.com,+91-9162072554,30
40,dlr-00040,visakhapatnam auto parts - 40,visakhapatnam,ap,south,retail,2024-02-20 00:00:00,true,dealer40@example.com,+91-9676433322,45
41,dlr-00041,coimbatore auto parts - 41,coimbatore,tn,south,wholesale,2023-03-07 00:00:00,true,dealer41@example.com,+91-9756384693,15
42,dlr-00042,chennai auto parts - 42,chennai,tn,south,retail,2024-01-28 00:00:00,true,dealer42@example.com,+91-9199949404,0
43,dlr-00043,kochi auto parts - 43,kochi,kl,south,retail,2024-09-17 00:00:00,true,dealer43@example.com,+91-9684573664,45
44,dlr-00044,nagpur auto parts - 44,nagpur,mh,west,retail,2025-05-22 00:00:00,true,dealer44@example.com,+91-9988508204,60
45,dlr-00045,kolkata auto parts - 45,kolkata,wb,east,retail,2024-10-30 00:00:00,true,dealer45@example.com,+91-9029689670,30
46,dlr-00046,pune auto parts - 46,pune,mh,west,retail,2025-06-25 00:00:00,true,dealer46@example.com,+91-9691148393,15
47,dlr-00047,jaipur auto parts - 47,jaipur,rj,north,retail,2025-11-06 00:00:00,true,dealer47@example.com,+91-9454461714,60
48,dlr-00048,kolkata auto parts - 48,kolkata,wb,east,wholesale,2023-08-24 00:00:00,true,dealer48@example.com,+91-9023374418,15
49,dlr-00049,new delhi auto parts - 49,new delhi,dl,north,retail,2025-07-11 00:00:00,true,dealer49@example.com,+91-9736465284,30
50,dlr-00050,lucknow auto parts - 50,lucknow,up,north,retail,2025-03-30 00:00:00,true,dealer50@example.com,+91-9071898082,0
51,dlr-00051,new delhi auto parts - 51,new delhi,dl,north,retail,2025-11-16 00:00:00,true,dealer51@example.com,+91-9040934100,45
52,dlr-00052,kolkata auto parts - 52,kolkata,wb,east,wholesale,2023-07-23 00:00:00,true,dealer52@example.com,+91-9067491713,15
53,dlr-00053,visakhapatnam auto parts - 53,visakhapatnam,ap,south,wholesale,2023-03-12 00:00:00,false,dealer53@example.com,+91-9968387793,30
54,dlr-00063,kolkata auto parts - 54,kolkata,wb,east,retail,2023-01-06 00:00:00,true,dealer54@example.com,+91-9061067881,15
55,dlr-00055,surat auto parts - 55,surat,gj,west,retail,2024-09-01 00:00:00,true,dealer55@example.com,+91-9788150719,30
56,dlr-00056,mysuru auto parts - 56,mysuru,ka,south,retail,2023-09-10 00:00:00,true,dealer56@example.com,+91-9767497344,30
57,dlr-00057,jaipur auto parts - 57,jaipur,rj,north,wholesale,2025-05-02 00:00:00,true,dealer57@example.com,+91-9125614812,60
58,dlr-00058,hyderabad auto parts - 58,hyderabad,tg,south,retail,2024-06-30 00:00:00,true,dealer58@example.com,+91-9014306604,15
59,dlr-00002,new delhi auto parts - 59,new delhi,dl,north,wholesale,2023-05-24 00:00:00,false,dealer59@example.com,+91-9104038003,15
60,dlr-00060,hyderabad auto parts - 60,hyderabad,tg,south,retail,2025-02-23 00:00:00,true,dealer60@example.com,+91-9834564238,45
61,dlr-00061,noida auto parts - 61,noida,up,north,retail,2023-09-12 00:00:00,true,dealer61@example.com,+91-9692700227,30
62,dlr-00062,coimbatore auto parts - 62,coimbatore,tn,south,retail,2024-10-21 00:00:00,true,dealer62@example.com,+91-9773142862,15
63,dlr-00063,kolkata auto parts - 63,kolkata,wb,east,retail,2025-06-13 00:00:00,true,dealer63@example.com,+91-9428033244,30
64,dlr-00064,pune auto parts - 64,pune,mh,west,wholesale,2024-04-15 00:00:00,true,dealer64@example.com,+91-9228121395,0
65,dlr-00065,jaipur auto parts - 65,jaipur,rj,north,retail,2024-08-27 00:00:00,true,dealer65@example.com,+91-9911506116,30
66,dlr-00066,kochi auto parts - 66,kochi,kl,south,retail,2023-12-22 00:00:00,true,dealer66@example.com,+91-9880530970,30
67,dlr-00067,kochi auto parts - 67,kochi,kl,south,retail,2025-11-27 00:00:00,true,dealer67@example.com,+91-9693533317,15
68,dlr-00068,kochi auto parts - 68,kochi,kl,south,retail,2024-11-22 00:00:00,true,dealer68@example.com,+91-9770852901,30
69,dlr-00069,surat auto parts - 69,surat,gj,west,wholesale,2024-10-23 00:00:00,true,dealer69@example.com,+91-9774630999,30
70,dlr-00070,pune auto parts - 70,pune,mh,west,retail,2023-05-16 00:00:00,false,dealer70@example.com,+91-9264982587,15
71,dlr-00071,bengaluru auto parts - 71,bengaluru,ka,south,wholesale,2024-05-01 00:00:00,false,dealer71@example.com,+91-9715492151,30
72,dlr-00072,jaipur auto parts - 72,jaipur,rj,north,wholesale,2023-02-25 00:00:00,true,dealer72@example.com,+91-9638479379,60
73,dlr-00073,hyderabad auto parts - 73,hyderabad,tg,south,retail,2023-05-16 00:00:00,true,dealer73@example.com,+91-9864309723,30
74,dlr-00074,kochi auto parts - 74,kochi,kl,south,retail,2023-11-15 00:00:00,true,dealer74@example.com,+91-9057152270,0
75,dlr-00075,kochi auto parts - 75,kochi,kl,south,wholesale,2023-08-20 00:00:00,false,dealer75@example.com,+91-9373432663,30
76,dlr-00076,jaipur auto parts - 76,jaipur,rj,north,retail,2025-12-03 00:00:00,true,dealer76@example.com,+91-9351312376,30
77,dlr-00077,visakhapatnam auto parts - 77,visakhapatnam,ap,south,retail,2025-10-27 00:00:00,true,dealer77@example.com,+91-9087790918,15
78,dlr-00078,hyderabad auto parts - 78,hyderabad,tg,south,retail,2024-07-02 00:00:00,true,dealer78@example.com,+91-9710563336,30
79,dlr-00079,surat auto parts - 79,surat,gj,west,retail,2024-08-25 00:00:00,true,dealer79@example.com,+91-9395947368,30
80,dlr-00080,coimbatore auto parts - 80,coimbatore,tn,south,retail,2023-10-12 00:00:00,false,dealer80@example.com,+91-9392968320,30
